HQ_State,<30,30-100,100-200,200-300,300-500,>500,TOTAL,"TARGET_BUCKETS(30-100,200-300,300-500)"
AK,0,1,0,0,0,0,1,1
AL,1,3,0,0,0,0,4,3
AZ,0,2,0,1,0,0,3,3
CA,4,4,1,0,1,1,11,5
CO,4,2,3,1,0,1,11,3
DE,0,0,1,0,0,0,1,0
FL,4,3,1,1,0,2,11,4
GA,1,0,1,0,0,0,2,0
IA,0,1,0,0,0,0,1,1
IL,1,2,0,1,0,0,4,3
IN,1,1,1,0,0,1,4,1
KS,0,0,0,0,1,0,1,1
KY,0,0,0,1,0,0,1,1
MA,2,1,0,0,0,2,5,1
MD,0,1,2,0,0,1,4,1
ME,1,1,1,0,0,0,3,1
MI,0,0,1,0,0,1,2,0
MN,0,1,1,0,0,1,3,1
MO,0,1,0,0,0,0,1,1
MT,1,0,1,0,0,0,2,0
NC,1,1,0,0,0,1,3,1
ND,1,1,0,0,0,0,2,1
NE,0,0,0,0,0,1,1,0
NH,1,0,1,0,0,0,2,0
NJ,0,1,0,1,0,2,4,2
NM,0,0,0,1,0,0,1,1
NV,1,0,0,0,0,0,1,0
NY,1,0,0,0,0,1,2,0
OH,0,2,0,0,1,2,5,3
OK,0,2,0,0,0,0,2,2
OR,2,0,0,0,0,1,3,0
PA,3,1,0,0,1,1,6,2
SC,0,0,0,1,1,0,2,2
SD,0,0,1,0,0,0,1,0
TX,5,1,1,0,0,3,10,1
UT,0,1,1,0,0,0,2,1
VA,1,2,0,0,0,4,7,2
WA,1,0,0,0,0,1,2,0
WI,0,1,0,0,3,1,5,4
WV,1,0,0,1,0,0,2,1
ALL,38,37,18,9,8,28,138,54
